k [ Mpc^-1],P(k) [Mpc^3]
0.0001,2041.243281
0.000100755,2056.079415
0.000101515,2071.023124
0.000102281,2086.075182
0.000103053,2101.23637
0.000103831,2116.507473
0.000104614,2131.889282
0.000105404,2147.382595
0.000106199,2162.988213
0.000107,2178.706944
0.000107808,2194.539603
0.000108621,2210.487009
0.000109441,2226.549987
0.000110267,2242.72937
0.000111099,2259.025993
0.000111937,2275.440701
0.000112782,2291.974342
0.000113633,2308.627769
0.000114491,2325.401842
0.000115355,2342.297425
0.000116225,2359.315389
0.000117102,2376.456613
0.000117986,2393.721978
0.000118876,2411.112376
0.000119773,2428.628702
0.000120677,2446.271858
0.000121588,2464.042753
0.000122506,2481.942301
0.00012343,2499.971425
0.000124361,2518.131053
0.0001253,2536.422118
0.000126245,2554.845561
0.000127198,2573.402331
0.000128158,2592.093382
0.000129125,2610.919674
0.0001301,2629.882175
0.000131081,2648.981859
0.000132071,2668.219709
0.000133067,2687.596712
0.000134071,2707.113864
0.000135083,2726.772166
0.000136103,2746.572628
0.00013713,2766.516266
0.000138164,2786.604103
0.000139207,2806.83717
0.000140258,2827.216505
0.000141316,2847.743152
0.000142382,2868.418162
0.000143457,2889.242591
0.000144539,2910.217502
0.00014563,2931.343964
0.000146729,2952.623056
0.000147836,2974.055862
0.000148952,2995.643476
0.000150076,3017.386998
0.000151209,3039.287534
0.00015235,3061.346202
0.000153499,3083.564123
0.000154658,3105.94243
0.000155825,3128.482259
0.000157001,3151.184759
0.000158186,3174.051083
0.000159379,3197.082393
0.000160582,3220.279861
0.000161794,3243.644665
0.000163015,3267.17799
0.000164245,3290.881033
0.000165484,3314.754995
0.000166733,3338.801088
0.000167991,3363.020532
0.000169259,3387.414554
0.000170536,3411.984391
0.000171823,3436.731288
0.00017312,3461.656498
0.000174426,3486.761283
0.000175743,3512.046913
0.000177069,3537.514669
0.000178405,3563.165836
0.000179751,3589.001708
0.000181108,3615.023582
0.000182475,3641.232766
0.000183852,3667.630576
0.000185239,3694.218337
0.000186637,3720.997383
0.000188045,3747.969056
0.000189464,3775.134709
0.000190894,3802.495703
0.000192335,3830.053407
0.000193786,3857.809201
0.000195248,3885.764473
0.000196722,3913.920622
0.000198206,3942.279054
0.000199702,3970.841186
0.000201209,3999.608443
0.000202727,4028.582262
0.000204257,4057.764087
0.000205799,4087.155374
0.000207352,4116.757587
0.000208917,4146.572199
0.000210493,4176.600696
0.000212082,4206.844571
0.000213682,4237.305328
0.000215294,4267.984482
0.000216919,4298.883555
0.000218556,4330.004082
0.000220205,4361.347608
0.000221867,4392.915687
0.000223541,4424.709884
0.000225228,4456.73177
0.000226928,4488.982921
0.00022864,4521.46492
0.000230366,4554.179362
0.000232104,4587.127851
0.000233856,4620.312003
0.000235621,4653.733443
0.000237399,4687.393807
0.00023919,4721.294741
0.000240995,4755.437903
0.000242814,4789.82496
0.000244646,4824.45759
0.000246492,4859.337483
0.000248352,4894.466338
0.000250227,4929.845867
0.000252115,4965.477791
0.000254017,5001.363842
0.000255934,5037.505766
0.000257866,5073.905316
0.000259812,5110.56426
0.000261772,5147.484374
0.000263748,5184.667447
0.000265738,5222.11528
0.000267743,5259.829683
0.000269764,5297.812481
0.0002718,5336.065508
0.000273851,5374.590609
0.000275917,5413.389644
0.000277999,5452.464482
0.000280097,5491.817004
0.000282211,5531.449103
0.000284341,5571.362675
0.000286486,5611.559618
0.000288648,5652.041845
0.000290827,5692.811277
0.000293021,5733.869849
0.000295232,5775.219508
0.00029746,5816.862211
0.000299705,5858.799929
0.000301967,5901.034642
0.000304246,5943.568346
0.000306541,5986.403045
0.000308855,6029.540757
0.000311185,6072.983514
0.000313534,6116.733356
0.0003159,6160.792338
0.000318284,6205.162528
0.000320686,6249.846004
0.000323106,6294.844859
0.000325544,6340.161196
0.000328,6385.797132
